year,title,gallery,city,solo
2019 , Analízis – kortárs fotóművészet a Hetényi–Gonda Gyűjteményből , Fuga                                           , Budapest
2018 , Communitas                                                    , Labor                                          , Budapest
2018 ,                                                               , ArtMarket                                      , Budapest
2018 , Listing VI.                                                   , Kisterem Gallery                               , Budapest
2018 , Studio 60, A Jövőt végkép eltörölni                           , Barcsay terem, MKE                             , Budapest
2017 , Found Geometry                                                , The Museum Vasarely of Fine Arts               , Budapest
2017 , Salt                                                          , Kunst Küche                                    , Budapest
2017 ,                                                               , ArtMarket                                      , Budapest
2017 , Listing V.                                                    , Kisterem Gallery                               , Budapest
2017 , Thinking some more                                            , Óbudai Gallery                                 , Budapest , solo

2016 , I sleep to wake up, I get up to lie down                      , FKSE                                           , Budapest
2016 ,                                                               , ArtMarket                                      , Budapest
2016 , Listing IV.                                                   , Kisterem Gallery                               , Budapest

2015 , INVERZ                                                        , Kisterem Gallery                               , Budapest
2015 , Thoughts around the black square                              , The Museum Vasarely of Fine Arts               , Budapest
2015 , Toi-Toi Projektraum, Brücke Zwei                              , Off-Biennale                                   , Budapest

2014 , Projectzone, Vontobel Amadeus Art Grant                       , Artmarket                                      , Budapest
2014 , Souvenir workshop                                             , POINT@NYITVA PLACC fesztivál, Budapest
2014 , Are we satisfied that the earth is round?                     , Holdudvar                                      , Budapest  , solo
2014 , Residency for Plants - SZAF                                   , Glockengasse No 9 Art Gallery                  , Wien

2013 ,                                                               , Artplacc                                       , Tihany
2013 ,                                                               , Bunker Galéria                                 , Budapest
2013 , Liget30                                                       , Olof Palme Ház                                 , Budapest

2012 , THE 01, The Video community - Main screening                  , Bunkier Sztuki Gallery of Contemporary Art     , Kraków
2012 , Csakoda                                                       , Mezőfalva

2011 , Crossmedia                                                    , Labor                                          , Budapest
2011 , Seriality (OSAS)                                               , The Museum Vasarely of Fine Arts               , Budapest
2011 , Una Visita                                                    , Accademia Albertina Delle Belle Arti Di Torino , Torino
2011 , BoH Art                                                       , Palazzo delle Esposizioni                      , Faenza

2010 , LudwigInzert                                                  ,                                                , Budapest
2010 , Balloon Bridge                                                ,                                                , Budapest
2010 , My Space My Country                                           , Badischer Kunstverein                          , Karlsruhe
2010 , Portfolio Points                                              , Café Dongo                                     , Budapest

